"time","temp","dtemp/dtime","state"
659,21.06,-2.106,No heating
660,18.954,-1.8954000000000002,Heating
661,17.058600000000002,8.941399999999998,Heating
662,26.0,0.0,No heating
663,26.0,-2.6,No heating
664,23.4,-2.34,No heating
665,21.06,-2.106,No heating
666,18.954,-1.8954000000000002,Heating
667,17.058600000000002,8.941399999999998,Heating
668,26.0,0.0,No heating
669,26.0,-2.6,No heating
670,23.4,-2.34,No heating
671,21.06,-2.106,No heating
672,18.954,-1.8954000000000002,Heating
673,17.058600000000002,8.941399999999998,Heating
674,26.0,0.0,No heating
675,26.0,-2.6,No heating
676,23.4,-2.34,No heating
677,21.06,-2.106,No heating
678,18.954,-1.8954000000000002,Heating
679,17.058600000000002,8.941399999999998,Heating
680,26.0,0.0,No heating
681,26.0,-2.6,No heating
682,23.4,-2.34,No heating
683,21.06,-2.106,No heating
684,18.954,-1.8954000000000002,Heating
685,17.058600000000002,8.941399999999998,Heating
686,26.0,0.0,No heating
687,26.0,-2.6,No heating
688,23.4,-2.34,No heating
689,21.06,-2.106,No heating
690,18.954,-1.8954000000000002,Heating
691,17.058600000000002,8.941399999999998,Heating
692,26.0,0.0,No heating
693,26.0,-2.6,No heating
694,23.4,-2.34,No heating
695,21.06,-2.106,No heating
696,18.954,-1.8954000000000002,Heating
697,17.058600000000002,8.941399999999998,Heating
698,26.0,0.0,No heating
699,26.0,-2.6,No heating
700,23.4,-2.34,No heating
701,21.06,-2.106,No heating
702,18.954,-1.8954000000000002,Heating
703,17.058600000000002,8.941399999999998,Heating
704,26.0,0.0,No heating
705,26.0,-2.6,No heating
706,23.4,-2.34,No heating
707,21.06,-2.106,No heating
708,18.954,-1.8954000000000002,Heating
709,17.058600000000002,8.941399999999998,Heating
710,26.0,0.0,No heating
711,26.0,-2.6,No heating
712,23.4,-2.34,No heating
713,21.06,-2.106,No heating
714,18.954,-1.8954000000000002,Heating
715,17.058600000000002,8.941399999999998,Heating
716,26.0,0.0,No heating
717,26.0,-2.6,No heating
718,23.4,-2.34,No heating
719,21.06,-2.106,No heating
720,18.954,-1.8954000000000002,Heating
721,17.058600000000002,8.941399999999998,Heating
722,26.0,0.0,No heating
723,26.0,-2.6,No heating
724,23.4,-2.34,No heating
725,21.06,-2.106,No heating
726,18.954,-1.8954000000000002,Heating
727,17.058600000000002,8.941399999999998,Heating
728,26.0,0.0,No heating
729,26.0,-2.6,No heating
730,23.4,-2.34,No heating
731,21.06,-2.106,No heating
732,18.954,-1.8954000000000002,Heating
733,17.058600000000002,8.941399999999998,Heating
734,26.0,0.0,No heating
735,26.0,-2.6,No heating
736,23.4,-2.34,No heating
737,21.06,-2.106,No heating
738,18.954,-1.8954000000000002,Heating
739,17.058600000000002,8.941399999999998,Heating
740,26.0,0.0,No heating
741,26.0,-2.6,No heating
742,23.4,-2.34,No heating
743,21.06,-2.106,No heating
744,18.954,-1.8954000000000002,Heating
745,17.058600000000002,8.941399999999998,Heating
746,26.0,0.0,No heating
747,26.0,-2.6,No heating
748,23.4,-2.34,No heating
749,21.06,-2.106,No heating
750,18.954,-1.8954000000000002,Heating
751,17.058600000000002,8.941399999999998,Heating
752,26.0,0.0,No heating
753,26.0,-2.6,No heating
754,23.4,-2.34,No heating
755,21.06,-2.106,No heating
756,18.954,-1.8954000000000002,Heating
757,17.058600000000002,8.941399999999998,Heating
758,26.0,0.0,No heating
759,26.0,-2.6,No heating
760,23.4,-2.34,No heating
761,21.06,-2.106,No heating
762,18.954,-1.8954000000000002,Heating
763,17.058600000000002,8.941399999999998,Heating
764,26.0,0.0,No heating
765,26.0,-2.6,No heating
766,23.4,-2.34,No heating
767,21.06,-2.106,No heating
768,18.954,-1.8954000000000002,Heating
769,17.058600000000002,8.941399999999998,Heating
770,26.0,0.0,No heating
771,26.0,-2.6,No heating
772,23.4,-2.34,No heating
773,21.06,-2.106,No heating
774,18.954,-1.8954000000000002,Heating
775,17.058600000000002,8.941399999999998,Heating
776,26.0,0.0,No heating
777,26.0,-2.6,No heating
778,23.4,-2.34,No heating
779,21.06,-2.106,No heating
780,18.954,-1.8954000000000002,Heating
781,17.058600000000002,8.941399999999998,Heating
782,26.0,0.0,No heating
783,26.0,-2.6,No heating
784,23.4,-2.34,No heating
785,21.06,-2.106,No heating
786,18.954,-1.8954000000000002,Heating
787,17.058600000000002,8.941399999999998,Heating
788,26.0,0.0,No heating
789,26.0,-2.6,No heating
790,23.4,-2.34,No heating
791,21.06,-2.106,No heating
792,18.954,-1.8954000000000002,Heating
793,17.058600000000002,8.941399999999998,Heating
794,26.0,0.0,No heating
795,26.0,-2.6,No heating
796,23.4,-2.34,No heating
797,21.06,-2.106,No heating
798,18.954,-1.8954000000000002,Heating
799,17.058600000000002,8.941399999999998,Heating
800,26.0,0.0,No heating
801,26.0,-2.6,No heating
802,23.4,-2.34,No heating
803,21.06,-2.106,No heating
804,18.954,-1.8954000000000002,Heating
805,17.058600000000002,8.941399999999998,Heating
806,26.0,0.0,No heating
807,26.0,-2.6,No heating
808,23.4,-2.34,No heating
809,21.06,-2.106,No heating
810,18.954,-1.8954000000000002,Heating
811,17.058600000000002,8.941399999999998,Heating
812,26.0,0.0,No heating
813,26.0,-2.6,No heating
814,23.4,-2.34,No heating
815,21.06,-2.106,No heating
816,18.954,-1.8954000000000002,Heating
817,17.058600000000002,8.941399999999998,Heating
818,26.0,0.0,No heating
819,26.0,-2.6,No heating
820,23.4,-2.34,No heating
821,21.06,-2.106,No heating
822,18.954,-1.8954000000000002,Heating
823,17.058600000000002,8.941399999999998,Heating
824,26.0,0.0,No heating
825,26.0,-2.6,No heating
826,23.4,-2.34,No heating
